tier,score,name,ein,city,zip,metro_atlanta,focus,ntee,irs_status,form,fy,total_assets,total_revenue,grants_paid,loans_receivable,program_related_investments,why_shortlisted,suggested_segment,suggested_org_type,website,mission,approve
2,5,Second Helpings Atlanta Inc,45-3631347,Atlanta,30318,yes,Food & Agriculture,K30,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,1164616,7933266,6967081,0,0,Food & Agriculture; grantmaker,Capital Allocator,DAF or Charitable Fund,SECONDHELPINGSATLANTA.ORG,SECOND HELPINGS ATLANTA IS A NON-PROFIT FOOD RESCUE ORGANIZATION WHOSE MISSION IS TO REDUCE HUNGER AND FOOD WASTE IN THE METRO ATLANTA AREA BY RESCUING SURPLUS FOOD AND DELIVERING IT TO THOSE IN NEED.,
2,5,Mission Specialties Inc,58-2019081,Acworth,30101,yes,Health (mental/crisis),F60,Public charity: publicly supported 170(b)(1)(A)(vi),990,2020,1143277,129188,6215,0,400000,Health (mental/crisis); lending/PRI activity,Capital Aggregator,Loan or Private Investment Fund,,"Mission Specialties is dedicated to opening doors of opportunity of service. Significant activities include providing counseling, career guidance and critical incident interventions for child protection workers, missiona",
2,5,Bethel Towers Inc,01-0888847,Atlanta,30303,yes,Housing,L20,Public charity: program-service supported 509(a)(2),990,2021,391856,108891,5000,0,222086,Housing; lending/PRI activity,Capital Aggregator,Loan or Private Investment Fund,,"A non-profit organization formed to manage and operate the commercial units of the apartment community known as Big Bethel Towers Apartments located in Atlanta, Georgia.",
2,5,Mount Zion Community Reinvestment Corporation,58-2570480,Albany,31708,no,Community & Economic Development,S31,Public charity: publicly supported 170(b)(1)(A)(vi),990,2022,146757,312244,0,0,0,lending/PRI activity; outside metro Atlanta,Capital Aggregator,Loan or Private Investment Fund,,TUTORING WITH FREE AND CHARITABLE HEALTH CARE SERVICES.,
3,4,St Simons Land Trust,58-2598986,St Simons Is,31522,no,,C34,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,65751426,5906971,0,0,0,large assets; outside metro Atlanta,Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.SSLT.ORG,"THE ST. SIMONS LAND TRUST WAS FOUNDED IN 2000 TO CONSERVE UNDEVELOPED LAND AND ICONIC PROPERTIES THAT HAVE ENVIRONMENTAL, RECREATIONAL, SCENIC, HISTORIC, OR EDUCATIONAL VALUE AND THAT ENSURE QUALITY OF LIFE FOR PRESENT A",
3,4,Ida Cason Callaway Foundation,58-0607075,Pine Mountain,31822,no,,C410,Public charity: program-service supported 509(a)(2),990,2021,56325456,17214373,0,0,0,large assets; outside metro Atlanta,Capital Seeker,Nonprofit (Community Dev. or Social Services),CallawayGardens.com,Connecting man and nature in a way that respects both.,
3,4,Student Housing Of America Inc,58-2472789,Atlanta,30361,yes,Housing,L80,Public charity: program-service supported 509(a)(2),990,2021,18887768,4459972,0,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),N/A,DEVELOP OWN AND OPERATE STUDENT HOUSING FACILITIES TO ASSIST GOVERNMENTAL OR NON-PROFIT UNIVERSITIES FULFILL THEIR HOUSING NEEDS.,
3,4,Open Hand Atlanta Inc,58-1816778,Atlanta,30318,yes,Food & Agriculture,K36Z,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,17906863,15425420,0,0,0,Food & Agriculture,Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.OPENHANDATLANTA.ORG,WE COOK. WE DELIVER. WE TEACH. WE CARE.,
3,4,Solutions For Veterans Inc,58-2447022,Decatur,30030,yes,Community & Economic Development,S20,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,17719556,261005,0,12241968,0,lending/PRI activity,Capital Aggregator,Loan or Private Investment Fund,https://www.sfveterans.org/,"Provide programs and services for veterans living in supportive housing, and develop new supportive housing communities for Veterans.",
3,4,Hickory Creek Healthcare Foundation Inc,31-1644803,Sandy Springs,30328,yes,Health,E910,Public charity: program-service supported 509(a)(2),990,2021,17637730,7980753,0,0,0,Health,Capital Seeker,Nonprofit (Community Dev. or Social Services),hickorycreekhealthcare.org,"TO PROVIDE CARE TO THE ELDERLY RESIDENTS INCLUDING NURSING CARE, THERAPIES, OTHER ANCILLARY SERVICES, FOOD SERVICES, SOCIAL SERVICES AND OTHER SERVICES AS REQUIRED.",
