tier,score,name,ein,city,zip,metro_atlanta,focus,ntee,irs_status,form,fy,total_assets,total_revenue,grants_paid,loans_receivable,program_related_investments,why_shortlisted,suggested_segment,suggested_org_type,website,mission,approve
3,4,Elks Aidmore Inc,58-0572410,Conyers,30094,yes,Health (mental/crisis),F33Z,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,5675735,8721800,0,0,0,Health (mental/crisis),Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.ELKSAIDMORE.COM,"TO PROVIDE YOUTH AND FAMILIES IN CRISIS WITH THE NECESSARY SKILLS AND RESOURCES TO HELP HEAL THEIR HEARTS, RESTORE THEIR HOMES AND REBUILD THEIR LIVES.",
3,4,Drake House Inc,20-0943038,Roswell,30075,yes,Housing,L41,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,5629705,2503527,0,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.THEDRAKEHOUSE.ORG,"TO PROVIDE A LIFELINE OF SUPPORTIVE HOUSING AND ENRICHMENT PROGRAMS FOR HOMELESS MOTHERS AND THEIR CHILDREN IN NORTH METRO ATLANTA, GEORGIA.",
3,4,Twin Cedars Youth And Family Services Inc,58-1413499,Lagrange,30241,yes,Health (mental/crisis),F320,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,5452852,13049397,0,0,0,Health (mental/crisis),Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.TWINCEDARS.ORG,"TO PROVIDE PROGRAMS AND SERVICES EMPOWERING CHILDREN, YOUTH, AND FAMILIES TO ACHIEVE OPTIMUM POTENTIAL.",
3,4,D A S H For Lagrange Inc,03-0403629,Lagrange,30240,yes,Housing,L80,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,5072281,1062756,0,403,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.DASHLAGRANGE.COM,"TO REVITALIZE AND MAKE SUSTAINABLE LAGRANGE'S ONCE VIBRANT NEIGHBORHOODS BY ELIMINATING SUBSTANDARD HOUSING, CREATING SOCIO-ECONOMIC DIVERSITY, ENCOURAGING HOMEOWNERSHIP, INVITING ECONOMIC DEVELOPMENT, AND ENGAGING RESID",
3,3,Atlanta Botanical Garden Inc,58-1313284,Atlanta,30309,yes,,C410,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,198824204,44604397,25000,0,0,large assets,Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.ATLANTABG.ORG,"THE ATLANTA BOTANICAL GARDEN'S MISSION IS TO DEVELOP AND MAINTAIN PLANT COLLECTIONS FOR DISPLAY, EDUCATION, RESEARCH, CONSERVATION AND ENJOYMENT.",
3,3,Atlantic Coast Conservancy Inc,27-2321488,Jasper,30143,yes,,C34,Public charity: program-service supported 509(a)(2),990,2021,116932438,4648270,84579,892349,0,large assets,Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.ATLANTICCOASTCONSERVANCY.ORG,"THE MISSION OF THE ATLANTIC COAST CONSERVANCY IS TO PROVIDE 21ST CENTURY SOLUTIONS AND SOUND SCIENTIFIC APPLICATIONS FOR CONSERVATION OF CRITICAL NATURAL RESOURCES IN THE FACE OF A CHANGING CLIMATE, FOCUSING ON THE SOUTH",
3,3,Trees Atlanta Inc,58-1584758,Atlanta,30310,yes,,C500,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,22282688,7987544,0,12126800,0,lending/PRI activity,Capital Aggregator,Loan or Private Investment Fund,WWW.TREESATLANTA.ORG,"TREES ATLANTA PROTECTS AND IMPROVES ATLANTA'S URBAN FOREST BY PLANTING, CONSERVING, AND EDUCATING THE PUBLIC ABOUT THE BENEFITS OF TREES AND THEIR IMPORTANCE FOR THE HEALTH AND WELL-BEING OF OUR CITIZENS. WE EMPOWER COMM",
3,3,Georgia Piedmont Land Trust Inc,58-2384485,Suwanee,30024,yes,,C340,Public charity: publicly supported 170(b)(1)(A)(vi),990,2022,11986375,102507,0,0,682910,lending/PRI activity,Capital Aggregator,Loan or Private Investment Fund,WWW.GPLT.ORG,PERMANENTLY PRESERVING LAND IN THE PIEDMONT REGION OF GEORGIA TO PROTECT THE QUALITY OF OUR WATERS AND WOODLANDS; COMPLEMENT THE CONSERVATION EFFORTS OF CITIES AND CITIZENS; AND SAVE FARMLAND AND HISTORIC SITES FOR COMMU,
3,3,Legacy Community Housing Corporation,27-1761971,Atlanta,,yes,,,,990,2021,8137171,451244,106432,15578,444638,lending/PRI activity,Capital Aggregator,Loan or Private Investment Fund,WWW.LEGACYHOUSING.ORG,"WE SERVE DISADVANTAGED COMMUNITIES WORLDWIDE BY PROVIDING CHARITY, FINANCIAL SUPPORT AND INVESTMENT IN AREAS SUCH AS REAL ESTATE, COMMUNITY DEVELOPMENT, MINISTRIES, MEDICAL OUTREACH, EDUCATION, CHILDREN'S WELLNESS AND ME",
3,3,Georgia Micro Enterprise Network Inc,80-0030897,Atlanta,30313,yes,Community & Economic Development,S43,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,4095109,11565162,9466278,0,0,grantmaker,Capital Allocator,DAF or Charitable Fund,WWW.GMEN.ORG,"THE GEORGIA MICRO ENTERPRISE NETWORK (GMEN) IS A NONPROFIT ASSOCIATION THAT IS A CATALYST FOR ECONOMIC DEVELOPMENT IN GEORGIA. THROUGH ITS NETWORK OF BUSINESS DEVELOPMENT TRAINING AND LENDING ORGANIZATIONS (MDOS), GMEN S",
3,3,Galeo Latino Community Development Fund Inc,20-1565775,Atlanta,30359,yes,Community & Economic Development,S20,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,2159067,1727824,0,0,0,lending/PRI activity,Capital Aggregator,Loan or Private Investment Fund,WWW.GALEO.ORG,SEE SCHEDULE O,
3,3,Cobbworks Inc,58-2635833,Marietta,30060,yes,Employment & Workforce,J22,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,1356987,5229841,2603719,0,0,grantmaker,Capital Allocator,DAF or Charitable Fund,WWW.COBBWORKS.ORG,TO PROMOTE EMPLOYMENT AND EDUCATION OPPORTUNITIES THAT STRENGTHEN THE WORKFORCE AND ECONOMIC DEVELOPMENT IN OUR COMMUNITY.,
3,3,Reflections Of Trinity Inc,26-1871591,Powder Spgs,30127,yes,Community & Economic Development,S20,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,1252908,7480077,6213634,4777,0,grantmaker,Capital Allocator,DAF or Charitable Fund,N/A,COMMUNITY OUTREACH AND SUPPORT FOR LOCAL ORGANIZATIONS AND INDIVIDUALS. SERVES TO MEET THE BASIC NEEDS OF THOSE IN CRISIS AND FACILITATES STRUCTURED OPPORTUNITIES FOR PEOPLE TO ENGAGE IN MEANINGFUL COMMUNITY SERVICE.,
3,3,Homeaid Atlanta Inc,58-0024106,Alpharetta,30005,yes,Employment & Workforce,J22,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,893529,1490160,1085827,0,0,grantmaker,Capital Allocator,DAF or Charitable Fund,WWW.HOMEAIDATLANTA.ORG,THE MISSION OF HOMEAID ATLANTA IS TO BUILD NEW LIVES FOR HOMELESS FAMILIES AND INDIVIDUALS THROUGH HOUSING AND COMMUNIT YOU TREACH. ALTHOUGH OUR MISSION GIVES US BROAD LATITUDE TO ENGAGE IN BUILDING PROJECTS ACROSS THE E,
3,3,African American Credit Union Coalition,57-1091138,Snellville,30039,yes,Community & Economic Development,S40,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,676813,1509936,0,0,0,lending/PRI activity,Capital Aggregator,CDFI or Credit Union,N/A,THE AFRICAN AMERICAN CREDIT UNION COALITION'S MISSION IS TO INCREASE DIVERSITY WITHIN THE CREDIT UNION COMMUNITY THROUGH ADVOCACY AND PROFESSIONAL DEVELOPMENT.,
3,3,Eagles Economic Community Development Corp,55-0882752,Union City,30291,yes,Community & Economic Development,S30,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,18400,70231,0,0,0,lending/PRI activity,Capital Aggregator,CDFI or Credit Union,www.eagleseconomiccdc.org/,CHARITABLE AND EDUCATION PURPOSES,
3,2,10 Klicks Outdoors Inc,92-3617259,Brooks,30205,yes,,C60,Public charity: program-service supported 509(a)(2),990,2024,41900000,18900000,0,0,0,large assets,Capital Seeker,Nonprofit (Community Dev. or Social Services),,,
3,2,Southeastern Trust For Parks And Land Inc,45-4433321,Avondale Est,30002,yes,,C34,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,34377052,533912,0,0,0,large assets,Capital Seeker,Nonprofit (Community Dev. or Social Services),https://stpal.org/,"PRESERVATION AND CONSERVATION OF LAND, HABITATS AND WATERSHED AREAS FOR PRESENT AND FUTURE USE.",
