program_label,code,name,total_units,pct_occupied,number_reported,people_total
Project Based Section 8,13293,Upson County,235,91,231,517
811/PRAC,13293,Upson County,7,-4,-4,-4
Summary of All HUD Programs,13295,Walker County,451,92,418,770
Public Housing,13295,Walker County,259,100,258,479
Housing Choice Vouchers,13295,Walker County,61,62,40,63
Project Based Section 8,13295,Walker County,110,90,101,208
811/PRAC,13295,Walker County,21,95,19,20
Summary of All HUD Programs,13297,Walton County,847,84,732,1578
Public Housing,13297,Walton County,419,100,417,894
Housing Choice Vouchers,13297,Walton County,327,62,214,539
Project Based Section 8,13297,Walton County,100,93,100,144
202/PRAC,13297,Walton County,1,-4,-4,-4
Summary of All HUD Programs,13299,Ware County,686,87,598,1209
Public Housing,13299,Ware County,361,95,342,708
Housing Choice Vouchers,13299,Ware County,121,62,79,196
Project Based Section 8,13299,Ware County,132,83,108,234
202/PRAC,13299,Ware County,46,100,47,47
811/PRAC,13299,Ware County,26,91,22,24
Summary of All HUD Programs,13301,Warren County,114,93,105,290
Public Housing,13301,Warren County,100,97,96,273
Housing Choice Vouchers,13301,Warren County,14,-4,-4,-4
Summary of All HUD Programs,13303,Washington County,325,96,316,778
Public Housing,13303,Washington County,214,97,208,525
Housing Choice Vouchers,13303,Washington County,9,-4,-4,-4
Project Based Section 8,13303,Washington County,102,98,102,246
Summary of All HUD Programs,13305,Wayne County,321,86,301,726
Housing Choice Vouchers,13305,Wayne County,8,-4,-4,-4
Project Based Section 8,13305,Wayne County,303,87,289,710
811/PRAC,13305,Wayne County,10,-4,-4,-4
Summary of All HUD Programs,13307,Webster County,2,-4,-4,-4
Housing Choice Vouchers,13307,Webster County,2,-4,-4,-4
Summary of All HUD Programs,13309,Wheeler County,88,94,82,203
Public Housing,13309,Wheeler County,86,94,81,202
Housing Choice Vouchers,13309,Wheeler County,2,-4,-4,-4
Summary of All HUD Programs,13311,White County,75,83,63,135
Housing Choice Vouchers,13311,White County,6,-4,-4,-4
Project Based Section 8,13311,White County,69,85,59,129
Summary of All HUD Programs,13313,Whitfield County,299,88,259,459
Housing Choice Vouchers,13313,Whitfield County,9,-4,-4,-4
Project Based Section 8,13313,Whitfield County,242,86,207,400
202/PRAC,13313,Whitfield County,48,98,46,50
Summary of All HUD Programs,13315,Wilcox County,30,98,29,66
Public Housing,13315,Wilcox County,28,100,28,65
Housing Choice Vouchers,13315,Wilcox County,2,-4,-4,-4
Summary of All HUD Programs,13317,Wilkes County,214,89,187,386
Public Housing,13317,Wilkes County,119,91,104,213
Housing Choice Vouchers,13317,Wilkes County,14,-4,-4,-4
Project Based Section 8,13317,Wilkes County,81,92,74,155
Summary of All HUD Programs,13319,Wilkinson County,93,88,84,206
Housing Choice Vouchers,13319,Wilkinson County,9,-4,-4,-4
Project Based Section 8,13319,Wilkinson County,84,91,78,192
Summary of All HUD Programs,13321,Worth County,301,67,218,512
Housing Choice Vouchers,13321,Worth County,44,62,29,68
Project Based Section 8,13321,Worth County,257,68,189,444
Summary of All HUD Programs,13XXX,"Missing, Georgia",529,69,397,1138
Public Housing,13XXX,"Missing, Georgia",10,-4,-4,-4
Housing Choice Vouchers,13XXX,"Missing, Georgia",460,66,330,988
Project Based Section 8,13XXX,"Missing, Georgia",58,87,56,125
811/PRAC,13XXX,"Missing, Georgia",1,-4,-4,-4
