Program,Census Tract,Geography Type,CBSA Title,County Name,State Name,Tract Income Level,Tract Median Family Income as Percent of MSA Median Family Income,Tract Population,Place/Neighborhood,Federal Reserve District,Year,Amount
LIHTC,13017960300,Micropolitan Statistical Area,"Fitzgerald, GA","Ben Hill County, GA",Georgia,Middle,0.8406,4037,"Fitzgerald, GA",6,2016,854000
LIHTC,13019970300,Rural,NA,"Berrien County, GA",Georgia,Moderate,0.7539,2884,"Nashville, GA",6,2016,875960
LIHTC,13021013701,Metropolitan Statistical Area,"Macon-Bibb County, GA","Bibb County, GA",Georgia,NA,0,2211,"Macon, GA",6,2016,978364
LIHTC,13021013608,Metropolitan Statistical Area,"Macon-Bibb County, GA","Bibb County, GA",Georgia,Upper,1.3484,3630,"Lizella, GA",6,2016,1183574
LIHTC,13029920308,Metropolitan Statistical Area,"Savannah, GA","Bryan County, GA",Georgia,Upper,1.2688,10880,"Buckhead, Richmond Hill, GA",6,2016,922936
LIHTC,13033950500,Metropolitan Statistical Area,"Augusta-Richmond County, GA-SC","Burke County, GA",Georgia,Middle,0.9261,5697,"Waynesboro, GA",6,2016,840974
LIHTC,13039010404,Micropolitan Statistical Area,"Kingsland, GA","Camden County, GA",Georgia,Middle,0.969,5961,"Saint Marys, GA",6,2016,817270
LIHTC,13075960302,Rural,NA,"Cook County, GA",Georgia,Upper,1.2844,3625,"Adel, GA",6,2016,578331
LIHTC,13089023601,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","DeKalb County, GA",Georgia,Middle,0.8928,2756,"East Lake Terrace, Decatur, GA",6,2016,826253
LIHTC,13089023114,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","DeKalb County, GA",Georgia,Middle,0.8432,2948,"Stone Mountain, GA",6,2016,2321843
LIHTC,13089022501,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","DeKalb County, GA",Georgia,Middle,1.1506,3960,"Westchester Hills/Chelsea Heights, Decatur, GA",6,2016,772102
LIHTC,13089023317,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","DeKalb County, GA",Georgia,Low,0.4219,3844,"Lithonia, GA",6,2016,1098000
LIHTC,13115002100,Metropolitan Statistical Area,"Rome, GA","Floyd County, GA",Georgia,Moderate,0.6097,4753,"Rome, GA",6,2016,941753
LIHTC,13135050719,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Gwinnett County, GA",Georgia,Moderate,0.743,6149,"Snellville, GA",6,2016,618106
LIHTC,13151070119,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Henry County, GA",Georgia,Moderate,0.7034,5968,"Stockbridge, GA",6,2016,876878
LIHTC,13185010103,Metropolitan Statistical Area,"Valdosta, GA","Lowndes County, GA",Georgia,Upper,1.4127,4387,"Valdosta, GA",6,2016,1004188
LIHTC,13213010600,Metropolitan Statistical Area,"Dalton, GA","Murray County, GA",Georgia,Middle,1.0525,4251,"Chatsworth, GA",6,2016,780850
LIHTC,13215001400,Metropolitan Statistical Area,"Columbus, GA-AL","Muscogee County, GA",Georgia,Moderate,0.5297,1922,"Columbus, GA",6,2016,1135527
LIHTC,13271950101,Rural,NA,"Telfair County, GA",Georgia,Moderate,0.6125,4700,"McRae, GA",6,2016,800582
LIHTC,13275960602,Micropolitan Statistical Area,"Thomasville, GA","Thomas County, GA",Georgia,Middle,0.9028,2480,"Thomasville, GA",6,2016,1111420
LIHTC,13277960700,Micropolitan Statistical Area,"Tifton, GA","Tift County, GA",Georgia,Moderate,0.6216,4798,"Tifton, GA",6,2016,874740
LIHTC,13281960100,Rural,NA,"Towns County, GA",Georgia,Middle,0.9636,4785,"Young Harris, GA",6,2016,1773
LIHTC,13291000203,Rural,NA,"Union County, GA",Georgia,Upper,1.2778,2366,"Blairsville, GA",6,2016,19
LIHTC,13291000206,Rural,NA,"Union County, GA",Georgia,Upper,1.2384,3835,"Blairsville, GA",6,2016,561892
LIHTC,13291000207,Rural,NA,"Union County, GA",Georgia,Upper,1.3509,2313,"Blairsville, GA",6,2016,388832
LIHTC,13003960200,Micropolitan Statistical Area,"Douglas, GA","Atkinson County, GA",Georgia,Middle,0.9097,4910,"Pearson, GA",6,2017,78517
LIHTC,13013180205,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Barrow County, GA",Georgia,Moderate,0.7442,5319,"Winder, GA",6,2017,182492
LIHTC,13029920303,Metropolitan Statistical Area,"Savannah, GA","Bryan County, GA",Georgia,Moderate,0.7689,7522,"Richmond Hill, GA",6,2017,576528
LIHTC,13029920305,Metropolitan Statistical Area,"Savannah, GA","Bryan County, GA",Georgia,Upper,1.5719,4928,"Richmond Hill, GA",6,2017,560619
LIHTC,13031110604,Micropolitan Statistical Area,"Statesboro, GA","Bulloch County, GA",Georgia,Middle,1.0433,3157,"Statesboro, GA",6,2017,299646
LIHTC,13039010604,Micropolitan Statistical Area,"Kingsland, GA","Camden County, GA",Georgia,Moderate,0.5184,3651,"Saint Marys, GA",6,2017,168494
LIHTC,13039010302,Micropolitan Statistical Area,"Kingsland, GA","Camden County, GA",Georgia,Moderate,0.7773,4791,"Kingsland, GA",6,2017,317766
LIHTC,13051010504,Metropolitan Statistical Area,"Savannah, GA","Chatham County, GA",Georgia,Middle,0.8428,5002,"Savannah, GA",6,2017,1047692
LIHTC,13051001100,Metropolitan Statistical Area,"Savannah, GA","Chatham County, GA",Georgia,Low,0.4976,1818,"Eastside, Savannah, GA",6,2017,983424
LIHTC,13055010202,Micropolitan Statistical Area,"Summerville, GA","Chattooga County, GA",Georgia,Moderate,0.7361,3324,"Trion, GA",6,2017,1011500
LIHTC,13067031207,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Cobb County, GA",Georgia,Upper,1.4453,5182,"Cumberland, Atlanta, GA",6,2017,205804
LIHTC,13067030107,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Cobb County, GA",Georgia,Upper,1.248,5151,"Acworth, GA",6,2017,1091213
LIHTC,13067030603,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Cobb County, GA",Georgia,Middle,0.9726,6162,"Shiloh Valley, Kennesaw, GA",6,2017,1130500
LIHTC,13069010802,Micropolitan Statistical Area,"Douglas, GA","Coffee County, GA",Georgia,Middle,0.8756,4436,"Douglas, GA",6,2017,193232
LIHTC,13071970704,Micropolitan Statistical Area,"Moultrie, GA","Colquitt County, GA",Georgia,Middle,0.9556,2932,"Moultrie, GA",6,2017,175668
LIHTC,13071970703,Micropolitan Statistical Area,"Moultrie, GA","Colquitt County, GA",Georgia,Middle,1.0695,4586,"Moultrie, GA",6,2017,341115
LIHTC,13089022700,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","DeKalb County, GA",Georgia,Upper,1.9044,5425,"Oakhurst, Decatur, GA",6,2017,388536
LIHTC,13089022302,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","DeKalb County, GA",Georgia,Upper,1.5503,4538,"Decatur, GA",6,2017,4165000
LIHTC,13089023701,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","DeKalb County, GA",Georgia,Moderate,0.6172,2640,"Atlanta, GA",6,2017,2155618
LIHTC,13103030205,Metropolitan Statistical Area,"Savannah, GA","Effingham County, GA",Georgia,Middle,0.886,3517,"Springfield, GA",6,2017,167635
LIHTC,13103030309,Metropolitan Statistical Area,"Savannah, GA","Effingham County, GA",Georgia,Middle,1.1176,3869,"Rincon, GA",6,2017,998608
LIHTC,13115000600,Metropolitan Statistical Area,"Rome, GA","Floyd County, GA",Georgia,Moderate,0.5034,4549,"Rome, GA",6,2017,495088
LIHTC,13115001100,Metropolitan Statistical Area,"Rome, GA","Floyd County, GA",Georgia,Moderate,0.6279,2749,"Rome, GA",6,2017,602355
LIHTC,13121002500,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Fulton County, GA",Georgia,Low,0.4236,2273,"Vine City, Atlanta, GA",6,2017,762790
LIHTC,13139001609,Metropolitan Statistical Area,"Gainesville, GA","Hall County, GA",Georgia,Upper,1.7992,4494,"Flowery Branch, GA",6,2017,1095135
LIHTC,13153020700,Metropolitan Statistical Area,"Warner Robins, GA","Houston County, GA",Georgia,Low,0.3595,3308,"Warner Robins, GA",6,2017,1077599
LIHTC,13153021117,Metropolitan Statistical Area,"Warner Robins, GA","Houston County, GA",Georgia,Upper,1.5155,4396,"Warner Robins, GA",6,2017,1075760
LIHTC,13157010106,Micropolitan Statistical Area,"Jefferson, GA","Jackson County, GA",Georgia,Upper,1.4485,3629,"Hoschton, GA",6,2017,825046
LIHTC,13169030306,Metropolitan Statistical Area,"Macon-Bibb County, GA","Jones County, GA",Georgia,Upper,1.7185,2948,"Gray, GA",6,2017,186445
LIHTC,13185011405,Metropolitan Statistical Area,"Valdosta, GA","Lowndes County, GA",Georgia,Middle,0.9687,4735,"Valdosta, GA",6,2017,135069
LIHTC,13191110300,Metropolitan Statistical Area,"Brunswick-St. Simons, GA","McIntosh County, GA",Georgia,Moderate,0.7259,3133,"Darien, GA",6,2017,430300
LIHTC,13207050200,Metropolitan Statistical Area,"Macon-Bibb County, GA","Monroe County, GA",Georgia,Middle,0.913,6291,"Forsyth, GA",6,2017,175022
LIHTC,13209950200,Micropolitan Statistical Area,"Vidalia, GA","Montgomery County, GA",Georgia,Middle,0.8331,4603,"Ailey, GA",6,2017,84223
LIHTC,13215011400,Metropolitan Statistical Area,"Columbus, GA-AL","Muscogee County, GA",Georgia,Low,0.3631,1897,"Columbus, GA",6,2017,1130498
LIHTC,13225040200,Metropolitan Statistical Area,"Warner Robins, GA","Peach County, GA",Georgia,Moderate,0.6756,4845,"Fort Valley, GA",6,2017,679701
LIHTC,13235950201,Rural,NA,"Pulaski County, GA",Georgia,Middle,1.1218,2744,"Hawkinsville, GA",6,2017,122609
LIHTC,13273120400,Metropolitan Statistical Area,"Albany, GA","Terrell County, GA",Georgia,Moderate,0.5357,3319,"Dawson, GA",6,2017,108795
LIHTC,13285960901,Micropolitan Statistical Area,"LaGrange, GA-AL","Troup County, GA",Georgia,Moderate,0.6824,4158,"LaGrange, GA",6,2017,818761
LIHTC,13295020702,Metropolitan Statistical Area,"Chattanooga, TN-GA","Walker County, GA",Georgia,Moderate,0.6484,4418,"LaFayette, GA",6,2017,804440
LIHTC,13297110702,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Walton County, GA",Georgia,Moderate,0.6223,4278,"Monroe, GA",6,2017,1011500
CRA Small Business,13001950202,Rural,NA,"Appling County, GA",Georgia,Moderate,0.6983,2159,"Baxley, GA",6,2018,263357
CRA Small Business,13001950301,Rural,NA,"Appling County, GA",Georgia,Middle,0.9141,3090,"Baxley, GA",6,2018,1457436
CRA Small Business,13001950100,Rural,NA,"Appling County, GA",Georgia,Upper,1.2013,3018,"Baxley, GA",6,2018,126359
CRA Small Business,13001950400,Rural,NA,"Appling County, GA",Georgia,Middle,0.8365,1481,"Surrency, GA",6,2018,169650
CRA Small Business,13001950302,Rural,NA,"Appling County, GA",Georgia,Middle,0.8233,2421,"Baxley, GA",6,2018,1005409
CRA Small Business,13001950500,Rural,NA,"Appling County, GA",Georgia,Moderate,0.7759,4146,"Baxley, GA",6,2018,255059
CRA Small Business,13001950201,Rural,NA,"Appling County, GA",Georgia,Middle,0.881,2129,"Baxley, GA",6,2018,216340
CRA Small Business,13003960300,Micropolitan Statistical Area,"Douglas, GA","Atkinson County, GA",Georgia,Middle,0.8671,1452,"Axson, GA",6,2018,14040
CRA Small Business,13003960100,Micropolitan Statistical Area,"Douglas, GA","Atkinson County, GA",Georgia,Moderate,0.547,1924,"Willacoochee, GA",6,2018,234000
CRA Small Business,13003960200,Micropolitan Statistical Area,"Douglas, GA","Atkinson County, GA",Georgia,Middle,0.9097,4910,"Pearson, GA",6,2018,2029949
CRA Small Business,13005970201,Rural,NA,"Bacon County, GA",Georgia,Middle,1.0457,4176,"Alma, GA",6,2018,672750
CRA Small Business,13005970100,Rural,NA,"Bacon County, GA",Georgia,Middle,0.8205,3017,"Alma, GA",6,2018,774540
CRA Small Business,13005970202,Rural,NA,"Bacon County, GA",Georgia,Moderate,0.6968,3947,"Alma, GA",6,2018,998009
CRA Small Business,13007960100,Rural,NA,"Baker County, GA",Georgia,Middle,1.0941,1936,"Newton, GA",6,2018,231660
CRA Small Business,13007960200,Rural,NA,"Baker County, GA",Georgia,Moderate,0.7316,940,"Leary, GA",6,2018,435240
CRA Small Business,13009970302,Micropolitan Statistical Area,"Milledgeville, GA","Baldwin County, GA",Georgia,Upper,1.5239,3685,"Milledgeville, GA",6,2018,1023490
CRA Small Business,13009970801,Micropolitan Statistical Area,"Milledgeville, GA","Baldwin County, GA",Georgia,Upper,1.3566,2748,"Milledgeville, GA",6,2018,829306
CRA Small Business,13009970102,Micropolitan Statistical Area,"Milledgeville, GA","Baldwin County, GA",Georgia,Middle,0.9586,2773,"Milledgeville, GA",6,2018,562802
CRA Small Business,13009970802,Micropolitan Statistical Area,"Milledgeville, GA","Baldwin County, GA",Georgia,Low,0.4712,5184,"Milledgeville, GA",6,2018,1147989
CRA Small Business,13009970600,Micropolitan Statistical Area,"Milledgeville, GA","Baldwin County, GA",Georgia,Moderate,0.6208,3586,"Milledgeville, GA",6,2018,679770
CRA Small Business,13009970501,Micropolitan Statistical Area,"Milledgeville, GA","Baldwin County, GA",Georgia,NA,0,3384,"Milledgeville, GA",6,2018,1722250
CRA Small Business,13009970201,Micropolitan Statistical Area,"Milledgeville, GA","Baldwin County, GA",Georgia,Moderate,0.5233,3744,"Milledgeville, GA",6,2018,637407
CRA Small Business,13009970202,Micropolitan Statistical Area,"Milledgeville, GA","Baldwin County, GA",Georgia,Upper,1.2504,3161,"Milledgeville, GA",6,2018,598283
CRA Small Business,13009970702,Micropolitan Statistical Area,"Milledgeville, GA","Baldwin County, GA",Georgia,NA,0,1830,"Milledgeville, GA",6,2018,23400
CRA Small Business,13009970400,Micropolitan Statistical Area,"Milledgeville, GA","Baldwin County, GA",Georgia,Upper,1.3292,4120,"Milledgeville, GA",6,2018,7125463
CRA Small Business,13009970301,Micropolitan Statistical Area,"Milledgeville, GA","Baldwin County, GA",Georgia,Upper,1.6729,2659,"Milledgeville, GA",6,2018,787666
CRA Small Business,13009970701,Micropolitan Statistical Area,"Milledgeville, GA","Baldwin County, GA",Georgia,Moderate,0.71,1889,"Milledgeville, GA",6,2018,288990
CRA Small Business,13009970502,Micropolitan Statistical Area,"Milledgeville, GA","Baldwin County, GA",Georgia,Upper,1.3532,2650,"Milledgeville, GA",6,2018,1278627
CRA Small Business,13009970101,Micropolitan Statistical Area,"Milledgeville, GA","Baldwin County, GA",Georgia,Upper,1.5859,2386,"Milledgeville, GA",6,2018,455498
CRA Small Business,13011970200,Rural,NA,"Banks County, GA",Georgia,Middle,1.1039,4932,"Homer, GA",6,2018,5525910
CRA Small Business,13011970100,Rural,NA,"Banks County, GA",Georgia,Middle,0.9878,4798,"Alto, GA",6,2018,2685213
CRA Small Business,13011970300,Rural,NA,"Banks County, GA",Georgia,Middle,1.0196,4619,"Maysville, GA",6,2018,2671941
CRA Small Business,13011970400,Rural,NA,"Banks County, GA",Georgia,Upper,1.2307,3686,"Commerce, GA",6,2018,3704625
CRA Small Business,13013180503,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Barrow County, GA",Georgia,Middle,0.889,6441,"Bethlehem, GA",6,2018,2565810
CRA Small Business,13013180106,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Barrow County, GA",Georgia,Moderate,0.6779,2857,"Auburn, GA",6,2018,3900555
CRA Small Business,13013180108,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Barrow County, GA",Georgia,Middle,0.9633,2987,"Auburn, GA",6,2018,6475586
CRA Small Business,13013180205,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Barrow County, GA",Georgia,Moderate,0.7442,5319,"Winder, GA",6,2018,11432070
CRA Small Business,13013180107,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Barrow County, GA",Georgia,Middle,0.9215,4312,"Winder, GA",6,2018,9193824
CRA Small Business,13013180502,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Barrow County, GA",Georgia,Middle,0.8125,4948,"Bethlehem, GA",6,2018,4043519
CRA Small Business,13013180402,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Barrow County, GA",Georgia,Moderate,0.6715,6840,"Statham, GA",6,2018,6711120
CRA Small Business,13013180301,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Barrow County, GA",Georgia,Middle,0.8636,2604,"Winder, GA",6,2018,1325610
CRA Small Business,13013180206,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Barrow County, GA",Georgia,Middle,0.8257,3252,"Winder, GA",6,2018,1340820
CRA Small Business,13013180104,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Barrow County, GA",Georgia,Moderate,0.7834,2206,"Auburn, GA",6,2018,1630949
CRA Small Business,13013180302,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Barrow County, GA",Georgia,Middle,0.9194,6255,"Winder, GA",6,2018,3739320
CRA Small Business,13013180501,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Barrow County, GA",Georgia,Middle,1.0064,8269,"Winder, GA",6,2018,6933420
CRA Small Business,13013180103,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Barrow County, GA",Georgia,Upper,1.2802,5691,"Hoschton, GA",6,2018,8114437
CRA Small Business,13013180204,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Barrow County, GA",Georgia,Moderate,0.748,3191,"Winder, GA",6,2018,6142500
CRA Small Business,13013180105,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Barrow County, GA",Georgia,Middle,1.116,2822,"Auburn, GA",6,2018,1226241
CRA Small Business,13013180203,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Barrow County, GA",Georgia,Moderate,0.592,3497,"Winder, GA",6,2018,3368430
CRA Small Business,13013180303,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Barrow County, GA",Georgia,Middle,1.1043,5374,"Winder, GA",6,2018,1936349
CRA Small Business,13013180401,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Barrow County, GA",Georgia,Middle,0.9598,6640,"Winder, GA",6,2018,3428100
CRA Small Business,13015961002,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Moderate,0.6253,3439,"Kingston, GA",6,2018,1882507
CRA Small Business,13015960502,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Moderate,0.6557,3003,"Cartersville, GA",6,2018,3135485
CRA Small Business,13015960201,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Middle,0.8864,3208,"Adairsville, GA",6,2018,2009306
CRA Small Business,13015960203,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Moderate,0.6156,4660,"Adairsville, GA",6,2018,2818833
CRA Small Business,13015960801,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Moderate,0.6966,3441,"Acworth, GA",6,2018,8746736
CRA Small Business,13015960105,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Moderate,0.6836,3600,"White, GA",6,2018,2682353
CRA Small Business,13015960302,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Middle,0.8065,3538,"Kingston, GA",6,2018,1088867
CRA Small Business,13015960405,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Middle,1.0021,5024,"Cartersville, GA",6,2018,10888785
CRA Small Business,13015960501,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Moderate,0.63,5513,"Cartersville, GA",6,2018,6973236
CRA Small Business,13015960804,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Middle,1.0407,3649,"Emerson, GA",6,2018,7044703
CRA Small Business,13015961001,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Middle,1.0362,5331,"Kingston, GA",6,2018,3047867
CRA Small Business,13015960404,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Moderate,0.7191,5604,"Cartersville, GA",6,2018,4022410
CRA Small Business,13015960202,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Moderate,0.6756,3607,"Adairsville, GA",6,2018,2370209
CRA Small Business,13015960301,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Middle,0.8233,3544,"Kingston, GA",6,2018,1058737
CRA Small Business,13015960702,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Middle,0.9177,3332,"Cartersville, GA",6,2018,4828781
CRA Small Business,13015960901,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Middle,0.8076,3342,"Cartersville, GA",6,2018,11185200
CRA Small Business,13015960602,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Moderate,0.7602,4087,"Cartersville, GA",6,2018,8897097
CRA Small Business,13015960902,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Moderate,0.7851,7067,"Cartersville, GA",6,2018,1868490
CRA Small Business,13015960104,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Moderate,0.7536,3077,"White, GA",6,2018,2367165
CRA Small Business,13015960802,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Low,0.4623,3135,"Acworth, GA",6,2018,540540
CRA Small Business,13015960101,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Middle,0.9437,1729,"Fairmount, GA",6,2018,567978
CRA Small Business,13015960601,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Moderate,0.7273,6093,"Cartersville, GA",6,2018,13173005
CRA Small Business,13015960407,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Upper,1.2053,2037,"Cartersville, GA",6,2018,3808665
CRA Small Business,13015960701,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Moderate,0.5766,4834,"Cartersville, GA",6,2018,7930905
CRA Small Business,13015960403,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Moderate,0.5623,4425,"Cartersville, GA",6,2018,3093119
CRA Small Business,13015960805,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Moderate,0.6446,2039,"Emerson, GA",6,2018,4690391
CRA Small Business,13015960406,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Moderate,0.6542,2947,"Cartersville, GA",6,2018,7163224
CRA Small Business,13015960103,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","Bartow County, GA",Georgia,Middle,1.1182,3596,"White, GA",6,2018,2629824
CRA Small Business,13017960300,Micropolitan Statistical Area,"Fitzgerald, GA","Ben Hill County, GA",Georgia,Middle,0.8406,4037,"Fitzgerald, GA",6,2018,444600
CRA Small Business,13017960200,Micropolitan Statistical Area,"Fitzgerald, GA","Ben Hill County, GA",Georgia,Middle,1.1381,1600,"Fitzgerald, GA",6,2018,238680
CRA Small Business,13017960400,Micropolitan Statistical Area,"Fitzgerald, GA","Ben Hill County, GA",Georgia,Moderate,0.5266,3656,"Fitzgerald, GA",6,2018,311220
CRA Small Business,13017960100,Micropolitan Statistical Area,"Fitzgerald, GA","Ben Hill County, GA",Georgia,Middle,0.8729,2375,"Fitzgerald, GA",6,2018,267930
CRA Small Business,13017960502,Micropolitan Statistical Area,"Fitzgerald, GA","Ben Hill County, GA",Georgia,Moderate,0.5689,4076,"Fitzgerald, GA",6,2018,2071561
CRA Small Business,13017960501,Micropolitan Statistical Area,"Fitzgerald, GA","Ben Hill County, GA",Georgia,Moderate,0.5769,1450,"Fitzgerald, GA",6,2018,812484
CRA Small Business,13019970500,Rural,NA,"Berrien County, GA",Georgia,Middle,0.9754,3702,"Nashville, GA",6,2018,858780
CRA Small Business,13019970200,Rural,NA,"Berrien County, GA",Georgia,Middle,0.9593,3493,"Enigma, GA",6,2018,572130
CRA Small Business,13019970100,Rural,NA,"Berrien County, GA",Georgia,Middle,1.0478,1496,"Alapaha, GA",6,2018,844740
CRA Small Business,13019970600,Rural,NA,"Berrien County, GA",Georgia,Middle,1.0578,3344,"Ray City, GA",6,2018,507779
CRA Small Business,13019970400,Rural,NA,"Berrien County, GA",Georgia,Middle,0.8112,3241,"Nashville, GA",6,2018,243359
CRA Small Business,13019970300,Rural,NA,"Berrien County, GA",Georgia,Moderate,0.7539,2884,"Nashville, GA",6,2018,934830
CRA Small Business,13021013502,Metropolitan Statistical Area,"Macon-Bibb County, GA","Bibb County, GA",Georgia,Middle,0.8143,1534,"Macon, GA",6,2018,5990400
CRA Small Business,13021012500,Metropolitan Statistical Area,"Macon-Bibb County, GA","Bibb County, GA",Georgia,Low,0.4667,3190,"Macon, GA",6,2018,3266230
CRA Small Business,13021013302,Metropolitan Statistical Area,"Macon-Bibb County, GA","Bibb County, GA",Georgia,Moderate,0.6573,3996,"Macon, GA",6,2018,2156310
CRA Small Business,13021013607,Metropolitan Statistical Area,"Macon-Bibb County, GA","Bibb County, GA",Georgia,Upper,1.3478,3092,"Lizella, GA",6,2018,2523674
CRA Small Business,13021013505,Metropolitan Statistical Area,"Macon-Bibb County, GA","Bibb County, GA",Georgia,Middle,1.0338,4942,"Macon, GA",6,2018,2691183
CRA Small Business,13021010100,Metropolitan Statistical Area,"Macon-Bibb County, GA","Bibb County, GA",Georgia,NA,0,1596,"Macon, GA",6,2018,1105650
CRA Small Business,13021013411,Metropolitan Statistical Area,"Macon-Bibb County, GA","Bibb County, GA",Georgia,Upper,1.539,4792,"Macon, GA",6,2018,14616609
CRA Small Business,13021010800,Metropolitan Statistical Area,"Macon-Bibb County, GA","Bibb County, GA",Georgia,Upper,2.135,1948,"Macon, GA",6,2018,7049070
CRA Small Business,13021013605,Metropolitan Statistical Area,"Macon-Bibb County, GA","Bibb County, GA",Georgia,Upper,1.2353,5711,"Macon, GA",6,2018,2784600
CRA Small Business,13021011002,Metropolitan Statistical Area,"Macon-Bibb County, GA","Bibb County, GA",Georgia,Middle,0.9929,1131,"Macon, GA",6,2018,1157334
CRA Small Business,13021013604,Metropolitan Statistical Area,"Macon-Bibb County, GA","Bibb County, GA",Georgia,Upper,1.4384,4987,"Lizella, GA",6,2018,3107520
Historic Tax Credit,13021014000,Metropolitan Statistical Area,"Macon-Bibb County, GA","Bibb County, GA",Georgia,Low,0.3594,3586,"Macon, GA",6,2018,13065463
